ordinal,class,stage_number,stage,proof_root,proof_title,theorem_statement,reader_principle,result
11,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_zfr_recursive_relation_fractal_theorem,RECURSIVE RELATION FRACTAL THEOREM,Prove exact combinatorial self-similarity when every saturated relative zero carries the same eighteen-seat relation alphabet at the next depth.,"Fractal self-similarity comes from repetition of the same generation operator: zero, residual, direction, saturation, rebasing, and redifferentiation. The theorem fixes the relation alphabet, not a cone, sphere, onion, or any other unique spatial embedding.",TRUE
12,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_bidirectional_fractal_limit_theorem,BIDIRECTIONAL FRACTAL LIMIT THEOREM,Construct compatible inward refinement and outward aggregation limits from the repeated eighteen-seat relation alphabet.,The inward limit refines every saturated relative zero into eighteen child relations. The outward limit groups each complete family of eighteen children into one higher-layer unit. Both directions obey the same mass-consistent cylinder ledger.,TRUE
13,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_onion_shell_closure_theorem,ONION SHELL CLOSURE THEOREM,"Derive shell counts, balanced boundary ledgers, and the exact distinction between symbolic closure and a chosen spatial shape.","Layering produces exact shell and cumulative-count laws. Complete shells close their signed relation ledger, but the same symbolic shell admits inequivalent spatial embeddings, so no sphere, cone, torus, spiral, or branch is selected without an additional embedding rule.",TRUE
14,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e895_relation_scale_topology_quantization_theorem,RELATION SCALE TOPOLOGY QUANTIZATION THEOREM,"Derive exact inward scales, outward aggregation, symbolic closure periods, conditional flux laws, and discrete shell levels from the generated three-by-three-by-two relation coordinates.","The eighteen-seat alphabet already has a canonical symbolic product coordinate system with three outer signs, three inner signs, and two occupations. This fixes exact combinatorial scale factors and closure periods without fixing a unique physical cone, sphere, torus, or other embedding.",TRUE
15,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e896_symbolic_continuum_coordinate_theorem,SYMBOLIC CONTINUUM COORDINATE THEOREM,Decode infinite three-by-three-by-two relation paths into a complete three-coordinate continuum carrier and append the generated temporal order as a fourth causal coordinate.,The repeated three-by-three-by-two alphabet is not only a state count. Each infinite path has two ternary coordinate addresses and one binary coordinate address. Finite prefixes form nested rational boxes that partition one complete three-coordinate carrier; temporal residual order then supplies a separate causal coordinate.,TRUE
16,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e897_three_dimensional_effective_world_projection_theorem,THREE DIMENSIONAL EFFECTIVE WORLD PROJECTION THEOREM,Construct a surjective many-to-one native-to-three-dimensional-world projection with exact quotient fibers and local descent.,"The effective world is a complete three-coordinate quotient layer rather than a literal two-dimensional shadow. Many hidden residual and phase states project to one local world cell, while the quotient remains normalized, surjective, and local on the declared finite carrier.",TRUE
17,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e898_minimal_semantic_world_rank_theorem,MINIMAL SEMANTIC WORLD RANK THEOREM,Prove the minimal labeled three-coordinate rank of the primitive sign-sign-occupancy relation carrier.,"Three-dimensionality is not inferred merely from the number eighteen. It is forced inside the declared relation grammar by three independently changeable labeled primitives: outer sign, inner sign, and occupancy. Their local change vectors have rank three, and the unique labeled radix tuple is three, three, two.",TRUE
18,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_nsr_time_residual_seat_theorem,TIME RESIDUAL NESTED SEAT THEOREM,Generate the three-by-three-by-two relation seats from first and second residuals of one ordered scalar time chain.,Generate the three-by-three-by-two relation seats from first and second residuals of one ordered scalar time chain.,TRUE
19,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_nsr_local_readout_dynamics_theorem,NESTED RESIDUAL READOUT DYNAMICS THEOREM,Compute every outer readout from the current outer residual and the occupied inner residual channels.,Compute every outer readout from the current outer residual and the occupied inner residual channels.,TRUE
20,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_x893_minimal_ternary_update_uniqueness_theorem,MINIMAL TERNARY UPDATE UNIQUENESS THEOREM,Exhaust every deterministic ternary update and prove the residual-clipping law is unique under the native axioms.,"The outer readout law is not selected after seeing force data. Every deterministic ternary law is exhausted and only the clipped residual sum survives the native symmetry, cancellation, identity, and monotonicity axioms.",TRUE
21,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_u880_binary_time_residual_genesis_theorem,BINARY TIME RESIDUAL GENESIS THEOREM,"Derive the native levels, temporal decay modes, positive weights, and one all-order recurrence from one binary time-depth relation without observable-value input.","Derive the native levels, temporal decay modes, positive weights, and one all-order recurrence from one binary time-depth relation without observable-value input.",TRUE
22,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_double_zero_primitive_algebra_theorem,DOUBLE ZERO PRIMITIVE ALGEBRA THEOREM,"Derive four primitive occupancy states, two inequivalent zero states, and the complete character frame from two polarity projectors.","Derive four primitive occupancy states, two inequivalent zero states, and the complete character frame from two polarity projectors.",TRUE
23,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_residual_closure_conservation_theorem,RESIDUAL CLOSURE CONSERVATION THEOREM,Prove the unique lossless decomposition of every nonnegative polarity ledger into signed residual and closed pairs.,Prove the unique lossless decomposition of every nonnegative polarity ledger into signed residual and closed pairs.,TRUE
24,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_radix_independent_relation_structure_theorem,RADIX INDEPENDENT RELATION STRUCTURE THEOREM,"Prove that numeral bases and state names change representation only, while rank, character orthogonality, relation roots, edges, and facets remain invariant.","Prove that numeral bases and state names change representation only, while rank, character orthogonality, relation roots, edges, and facets remain invariant.",TRUE
25,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_u880_hankel_dimension_genesis_theorem,HANKEL DIMENSION GENESIS THEOREM,Prove that one scalar time stream has exact latent dimension four: Hankel ranks grow one by one through four and the fifth delay adds no new independent direction.,Prove that one scalar time stream has exact latent dimension four: Hankel ranks grow one by one through four and the fifth delay adds no new independent direction.,TRUE
26,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e895_layer_time_dimension_role_completion_theorem,LAYER TIME DIMENSION ROLE COMPLETION THEOREM,"Relate microscopic saturation time, aggregate layer time, resolved recursive dimension, coarse dimension, and role classification in one exact hierarchy.","A completed lower-layer process is one higher-layer event. Resolving every layer reveals three new symbolic coordinates per depth, while coarse observation compresses the closed lower hierarchy to one three-coordinate effective carrier. Physical role is selected by closure and projection predicates rather than by an immutable label.",TRUE
27,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e897_universal_causal_update_speed_theorem,UNIVERSAL CAUSAL UPDATE SPEED THEOREM,Generate a layer-invariant causal speed from synchronized relation and time updates and prove a no-go for object-specific universality.,The invariant causal ratio is generated by one spatial relation update per one effective temporal update and is preserved when both are coarse-grained by the exact six-step closure period. Object-specific native speeds differ and therefore cannot alone define the universal limit.,TRUE
28,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e898_exact_lorentz_causal_subgroup_theorem,EXACT LORENTZ CAUSAL SUBGROUP THEOREM,Construct a nontrivial exact rational Lorentz subgroup preserving the generated causal cone and spatial metric.,The generated causal speed is not only a ratio. A nontrivial exact rational boost and an exact rational spatial rotation preserve the same three-plus-one interval and its null cone. This supplies an internal causal-frame symmetry without inserting a measured speed.,TRUE
29,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_e896_common_residual_renormalization_theorem,COMMON RESIDUAL RENORMALIZATION THEOREM,Prove that eighteen child relations split canonically into one coarse common mode and a seventeen-dimensional zero-sum residual kernel preserved by exact refine-coarsen maps.,A complete family of eighteen lower-layer relations has one average common readout and seventeen independent deviations that sum to zero. Exact coarse graining keeps the common mode and hides the residual kernel; exact refinement restores a uniform child family. This supplies a scale-independent one-plus-seventeen decomposition before any physical role name is assigned.,TRUE
30,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_u880_residual_coordinate_basis_theorem,RESIDUAL COORDINATE BASIS THEOREM,Prove that residual orders zero through three form an invertible dimension-generating coordinate basis for every four-sample temporal window.,Prove that residual orders zero through three form an invertible dimension-generating coordinate basis for every four-sample temporal window.,TRUE
31,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_u880_causal_companion_dynamics_theorem,CAUSAL COMPANION DYNAMICS THEOREM,Derive one unique companion evolution from the temporal recurrence and prove that the bounded forward orientation distinguishes causal time from its expanding inverse.,Derive one unique companion evolution from the temporal recurrence and prove that the bounded forward orientation distinguishes causal time from its expanding inverse.,TRUE
32,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,_u905_temporal_residual_genesis_theorem,TEMPORAL RESIDUAL GENESIS THEOREM,Derive the complete three-residual jet and its unique contractive spectral ratio from one ordered scalar chain.,"One ordered temporal chain generates the outer sign as a first residual and the inner sign as a second residual. The occupancy transition generates the common, signed, and curvature modes with exact rational eigenvalues.",TRUE
33,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_time_origin_causal_priority,TIME ORIGIN CAUSAL PRIORITY THEOREM,"Prove that the eighteen nested signed-occupancy states first generate one ordered temporal line, and only its three nonconstant residuals generate the spatial carrier and four force sectors.",The eighteen nested signed-occupancy states first form one ordered scalar history. Three finite residuals of that history generate the spatial carrier before any force sector is read.,TRUE
34,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_time_residual_dimension_strict_dependency,TIME RESIDUAL DIMENSION STRICT DEPENDENCY THEOREM,"Prove the strict dependency time first, three residuals second, spatial rank three third, and shell closure fourth.","Time is not appended to a pre-existing space. Directed update generates one temporal order, its three independent residual records generate spatial rank three, and those directions close into the JS shell.",TRUE
35,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_temporal_residual_additive_depth_origin,TEMPORAL RESIDUAL ADDITIVE DEPTH ORIGIN THEOREM,Derive the logarithmic-class additive depth as the unique normalized homomorphism of the primitive temporal contraction orbit without evaluating a logarithm.,"The primitive one-third contraction composes multiplicatively, while its uniquely normalized depth composes additively. This is the origin of the logarithmic coordinate class without a logarithm call.",TRUE
36,Primary,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,theorem_regular_source_multiaxis_orbit,REGULAR SOURCE MULTIAXIS ORBIT THEOREM,"Derive one regular temporal source orbit and its simultaneous linear, bounded, mirrored, and multiplicative readouts.","The primitive eighteen-state signed occupancy ledger supplies a regular temporal order and three independent residual directions. One native step is linear in depth while its bounded inward, bounded outward, and multiplicative readouts change simultaneously.",TRUE
37,Narrative,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,prove_zero_bipolar_origin_algebra,ZERO BIPOLAR ORIGIN ALGEBRA,Execute the exact certificate for ZERO BIPOLAR ORIGIN ALGEBRA on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
38,Narrative,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,prove_finite_mirror_closure,FINITE MIRROR CLOSURE,Execute the exact certificate for FINITE MIRROR CLOSURE on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
39,Narrative,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,prove_causal_drive_lag_order,CAUSAL DRIVE LAG ORDER,Execute the exact certificate for CAUSAL DRIVE LAG ORDER on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
40,Narrative,1,SIGNED OCCUPANCY AND TEMPORAL ORIGIN,prove_native_constant_origin_circle_closure,NATIVE CONSTANT ORIGIN AND CIRCLE CLOSURE,Execute the exact certificate for NATIVE CONSTANT ORIGIN AND CIRCLE CLOSURE on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
41,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_nsr_global_signature_js_shell_theorem,TWELVE SIGNATURE JS SHELL THEOREM,"Compress all five hundred twelve simultaneous occupancy arrays into twelve exact transition signatures and derive the twelve, one hundred forty-four, and sixteen multiplicities.","Compress all five hundred twelve simultaneous occupancy arrays into twelve exact transition signatures and derive the twelve, one hundred forty-four, and sixteen multiplicities.",TRUE
42,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_relation_root_js_cell_genesis_theorem,RELATION ROOT JS CELL GENESIS THEOREM,Generate the complete twelve-seat JS shell as the A3 relation-root polytope of the four primitive double-zero states.,Generate the complete twelve-seat JS shell as the A3 relation-root polytope of the four primitive double-zero states.,TRUE
43,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_js_chain_hodge_local_action_theorem,JS CHAIN HODGE LOCAL ACTION THEOREM,"Prove the closed JS surface chain, its exact homology, the complete edge Hodge dimension count, and positive local channel actions.","Prove the closed JS surface chain, its exact homology, the complete edge Hodge dimension count, and positive local channel actions.",TRUE
44,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_temporal_double_zero_js_dynamics_theorem,TEMPORAL DOUBLE ZERO JS DYNAMICS THEOREM,"Transport the primitive temporal companion through residual generation, double-zero occupancy, the twelve relation roots, and complete four-force observation.","Transport the primitive temporal companion through residual generation, double-zero occupancy, the twelve relation roots, and complete four-force observation.",TRUE
45,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_time_double_zero_relation_cell_force_completion_theorem,TIME DOUBLE ZERO RELATION CELL FORCE COMPLETION THEOREM,"Integrate primitive time, polarity occupancy, double-zero conservation, radix independence, dimension genesis, relation-root JS geometry, local action, and four-force dynamics.","Integrate primitive time, polarity occupancy, double-zero conservation, radix independence, dimension genesis, relation-root JS geometry, local action, and four-force dynamics.",TRUE
46,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_three_slot_complete_state_theorem,THREE SLOT COMPLETE STATE THEOREM,Prove that the complete three-slot state cube has six single-polarity states and two additional balanced-zero states.,Prove that the complete three-slot state cube has six single-polarity states and two additional balanced-zero states.,TRUE
47,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_residual_closure_phase_ledger_theorem,RESIDUAL CLOSURE PHASE LEDGER THEOREM,"Separate conserved polarity content, closed-pair depth, and the binary open-closed phase without deleting balanced content.","Separate conserved polarity content, closed-pair depth, and the binary open-closed phase without deleting balanced content.",TRUE
48,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_open_closed_zero_particle_wave_theorem,OPEN CLOSED ZERO PARTICLE WAVE THEOREM,Distinguish the four zero preimages and derive exact open two-channel and closed one-channel operators.,Distinguish the four zero preimages and derive exact open two-channel and closed one-channel operators.,TRUE
49,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_information_preserving_detection_theorem,INFORMATION PRESERVING DETECTION THEOREM,Prove that closure observation can create a localized branch while the complementary branch preserves the complete open state.,Prove that closure observation can create a localized branch while the complementary branch preserves the complete open state.,TRUE
50,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_four_force_particle_wave_readout_theorem,FOUR FORCE PARTICLE WAVE READOUT THEOREM,Generate four force readouts and particle-wave readouts from the complete three-slot state without loss.,Generate four force readouts and particle-wave readouts from the complete three-slot state without loss.,TRUE
51,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_double_js_layer_closure_lift_theorem,DOUBLE JS LAYER CLOSURE LIFT THEOREM,Lift the twelve-relation JS cell through the open and closed closure layers without changing its latent incidence.,Lift the twelve-relation JS cell through the open and closed closure layers without changing its latent incidence.,TRUE
52,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_temporal_wave_particle_cycle_theorem,TEMPORAL WAVE PARTICLE CYCLE THEOREM,Generate the minimal open-closed manifestation cycle from one ordered temporal step while preserving carrier and signed readouts.,Generate the minimal open-closed manifestation cycle from one ordered temporal step while preserving carrier and signed readouts.,TRUE
53,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u882_three_slot_particle_wave_force_completion_theorem,THREE SLOT PARTICLE WAVE FORCE COMPLETION THEOREM,"Integrate time, three-slot occupancy, four zero preimages, particle-wave closure, JS geometry, and four-force readout.","Integrate time, three-slot occupancy, four zero preimages, particle-wave closure, JS geometry, and four-force readout.",TRUE
54,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_residual_dimension_genesis_theorem,RESIDUAL DIMENSION GENESIS THEOREM,Execute the exact certificate for RESIDUAL DIMENSION GENESIS THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
55,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_fundamental_residual_dynamics_theorem,FUNDAMENTAL RESIDUAL DYNAMICS THEOREM,Execute the exact certificate for FUNDAMENTAL RESIDUAL DYNAMICS THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
56,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_residual_field_dynamics_theorem,RESIDUAL FIELD DYNAMICS THEOREM,Execute the exact certificate for RESIDUAL FIELD DYNAMICS THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
57,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_residual_continuum_action_theorem,RESIDUAL CONTINUUM ACTION THEOREM,Execute the exact certificate for RESIDUAL CONTINUUM ACTION THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
58,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_primitive_event_axis_redistribution_theorem,PRIMITIVE EVENT AXIS REDISTRIBUTION THEOREM,Execute the exact certificate for PRIMITIVE EVENT AXIS REDISTRIBUTION THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
59,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_event_axis_spatial_reconstruction_theorem,EVENT AXIS SPATIAL RECONSTRUCTION THEOREM,Execute the exact certificate for EVENT AXIS SPATIAL RECONSTRUCTION THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
60,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_master_time_residual_unified_action_theorem,MASTER TIME RESIDUAL UNIFIED ACTION THEOREM,Execute the exact certificate for MASTER TIME RESIDUAL UNIFIED ACTION THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
61,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_general_redistribution_source_theorem,GENERAL REDISTRIBUTION SOURCE THEOREM,Execute the exact certificate for GENERAL REDISTRIBUTION SOURCE THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
62,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_general_event_measure_continuum_descent_theorem,GENERAL EVENT MEASURE CONTINUUM DESCENT THEOREM,Execute the exact certificate for GENERAL EVENT MEASURE CONTINUUM DESCENT THEOREM on its generated dependency domain.,This theorem supplies the generated object required by the next causal stage.,TRUE
63,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u880_four_force_temporal_tomography_theorem,FOUR FORCE TEMPORAL TOMOGRAPHY THEOREM,Generate all four force readouts from temporal residual coordinates and prove exact two-way tomography from one scalar time history.,Generate all four force readouts from temporal residual coordinates and prove exact two-way tomography from one scalar time history.,TRUE
64,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u880_temporal_lorentzian_mass_theorem,TEMPORAL LORENTZIAN MASS THEOREM,"Generate a positive mass form from temporal correlations and a one-time-plus-three-residual Lorentzian form, then prove exact preservation under complete force projection.","Generate a positive mass form from temporal correlations and a one-time-plus-three-residual Lorentzian form, then prove exact preservation under complete force projection.",TRUE
65,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u880_temporal_variational_action_theorem,TEMPORAL VARIATIONAL ACTION THEOREM,Derive the companion evolution as the unique zero of a positive temporal action and prove exact variational equivalence after residual and force projection.,Derive the companion evolution as the unique zero of a positive temporal action and prove exact variational equivalence after residual and force projection.,TRUE
66,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u880_time_residual_dimension_force_completion_theorem,TIME RESIDUAL DIMENSION FORCE COMPLETION THEOREM,"Integrate one primitive time depth, cumulative residual generation, exact dimension genesis, causal evolution, four-force tomography, Lorentzian mass transport, and variational dynamics.","Integrate one primitive time depth, cumulative residual generation, exact dimension genesis, causal evolution, four-force tomography, Lorentzian mass transport, and variational dynamics.",TRUE
67,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,_u905_recursive_dimension_genesis_theorem,RECURSIVE DIMENSION GENESIS THEOREM,Construct the three-dimensional residual fiber as the exact quotient of four ordered samples by the constant temporal line.,Two ternary coordinates and one binary coordinate generate three independent spatial directions. Temporal residual depth supplies causal order and every depth contains eighteen to the depth cells.,TRUE
68,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,theorem_parent_shadow_canonical_decomposition,PARENT SHADOW CANONICAL DECOMPOSITION THEOREM,"Derive the anonymous ranks five, eight, one and three from the unique interaction-order decomposition of the three-by-three-by-two grammar.","The source does not choose one force path. One complete product grammar is decomposed simultaneously by its unique uniform conditional expectations. Main effects, pair interactions and the scalar plus traceless parts of the full triple interaction are the canonical anonymous shadows.",TRUE
69,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,theorem_parent_shadow_algebra_realization,PARENT SHADOW ALGEBRA REALIZATION THEOREM,Realize the four canonical anonymous shadow blocks as the unique generated matrix-response types before physical names are attached.,"The anonymous blocks are not selected by matching four known force dimensions. The three primitive factor complements and the generated spatial rank canonically supply one symmetric tracefree spatial response, one central scalar, one traceless two-state endomorphism algebra and one traceless three-state endomorphism algebra.",TRUE
70,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,theorem_parent_shadow_no_choice_equivalence,PARENT SHADOW NO CHOICE EQUIVALENCE THEOREM,"Prove that admissible relabelings change only coordinates, while every complete interaction-order shadow retains the same canonical block ranks.","A single parent object is not selected from several force worlds. Every admissible simultaneous relabeling is a coordinate change of the same parent, and the four canonical nonconstant blocks occur together. Merging or splitting the canonical ranges changes the shadow resolution or basis bookkeeping; it does not create another parent object or another dynamical source.",TRUE
71,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,theorem_refined_shadow_dispersion_isotropy,REFINED SHADOW DISPERSION ISOTROPY THEOREM,Derive the refinement decay of the actual convolution kinetic symbol from the primitive twelve-direction step distribution.,"Refinement is the normalized convolution of independent primitive relation steps. The quadratic kinetic tensor is exactly isotropic at every level. The direction-dependent fourth cumulant is recomputed from the convolution law and falls as one over the actual path count, rather than being assigned an external contraction factor.",TRUE
72,Primary,2,RESIDUAL DIMENSION AND JS GEOMETRY,theorem_causal_signature_uniqueness,CAUSAL SIGNATURE UNIQUENESS THEOREM,Classify the Lorentz signature as one global-sign equivalence class on the temporal-line plus residual-fiber decomposition.,"The source supplies one distinguished ordered coordinate and three permutation-equivalent residual coordinates. After removing one positive overall scale, nondegeneracy plus a nontrivial null boundary uniquely selects one opposite temporal sign and three equal spatial signs.",TRUE
